Title,Date,URL,Description
What's New Online at the Library of Congress: 2023 Wrap-Up!,2023-12-31,https://blogs.loc.gov/thesignal/2023/12/new-loc-2023-wrap/,"Happy 2024 to all of our Signal subscribers! In this special edition of &#8220;What&#8217;s New Online at the Library of Congress,&#8221; we&#8217;re looking back on some of our new digital collections releases in 2023. Do you have a favorite digital collection or item at the Library? Leave us a comment below and stay tuned for &hellip;"
"Talavera Ceramics: At the Intersection of Art, History, and Law in Mexico",2023-09-27,https://blogs.loc.gov/law/2023/09/talavera-ceramics-at-the-intersection-of-art-history-and-law-in-mexico/,"This post discusses the history of Talavera pottery, the laws that protect it in Mexico, and UNESCO recognition of its craftsmanship."
The crowdsourced transcription lifecycle – from conception to retirement,2023-05-16,https://blogs.loc.gov/thesignal/2023/05/btp-retirements/,"Today&#8217;s guest post is from Lauren Algee, a Senior Collections Specialist in the Digital Content Management Section and a&#xA0;By the People community manager. After years of service from thousands of volunteers, some of the oldest completed By the People crowdsourced transcription campaigns are celebrating their retirement! This week, the By the People team retired 10 &hellip;"
Seeing Lost Enclaves: Atmosphere and Emotional Space in Relational Reconstruction,2023-06-28,https://blogs.loc.gov/thesignal/2023/06/seeing-lost-enclaves-atmosphere-and-emotional-space-in-relational-reconstruction/,"The following is a guest post by the Library’s 2023 Innovator in Residence Jeffrey Yoo Warren (link to press release). As part of his residency, Warren will publish a toolkit to empower communities to create relational reconstructions of destroyed neighborhoods of color using 3D modeling methods and historic photographs. In the following post, Warren discusses &hellip;"
Centering Digital Collection Users: An Interview with Lauren Algee,2023-07-18,https://blogs.loc.gov/thesignal/2023/07/centering-digital-collection-users-an-interview-with-lauren-algee/,"I&#8217;m excited to share this interview with Lauren Algee, one of my colleagues in the Digital Services Directorate here at the Library of Congress. My hope that interviews like this help to spread awareness about the background, experience, and interests of the people that support the Library of Congress. Along with that, I think it&#8217;s &hellip;"
Ensuring Enduring Access to eBooks: Update on Recent Research and Analysis,2023-08-10,https://blogs.loc.gov/thesignal/2023/08/ensuring-enduring-access/,"Today&#8217;s guest post is from Andrew Cassidy-Amstutz, Kate Murray, Marcus Nappier, Camille Salas, and Trevor Owens of the Library of Congress. The Library of Congress recently completed a project to analyze the technical characteristics of a substantial set of eBook and eJournal files in the permanent collection and available for onsite access in Stacks, the &hellip;"
Opening Doors and Reaching Communities: An Interview with Merci Silva-Acosta,2023-08-18,https://blogs.loc.gov/thesignal/2023/08/opening-doors-and-reaching-communities-an-interview-with-merci-silva-acosta/,"We are happy to share this interview with Merci Silva-Acosta. Merci is serving as a Hispanic Association of Colleges and Universities (HACU) intern with the Digital Strategy Directorate in the summer of 2023. In this interview, we learn a bit about Merci&#8217;s interests and work with us at the Library. Hi Merci! It&#8217;s great to &hellip;"
The Web Archiving Team Answers Questions About the Web Archives,2023-08-30,https://blogs.loc.gov/thesignal/2023/08/the-web-archiving-team-answers-questions-about-the-web-archives/,Have you ever wondered what exactly is web archiving? How the Library select which websites to preserve? Or how you would find and search the web archives? The Web Archiving Team&#8217;s Senior Digital Collection Specialists gathered to answer these questions and more in a live webinar during the Preservation Directorate&#8217;s celebration of Preservation Week. If &hellip;
What's new online at the Library of Congress – November 2023,2023-11-24,https://blogs.loc.gov/thesignal/2023/11/new-loc-november-2023/,Interested in learning more about what&#8217;s new in the Library of Congress&#8217; digital collections? The Signal shares updates on new additions to our digital collections and we love showing off all the hard work of our colleagues from across the Library.&#xA0;Read on for a sample of what&#8217;s been added recently and some of our favorite &hellip;
Tigers & Portals: Seeing Lost Enclaves Community Memory Event,2023-11-06,https://blogs.loc.gov/thesignal/2023/11/tigers-portals-seeing-lost-enclaves-community-memory-event/,Artists discuss a community event to honor Providence's historic Chinatown.
National Book Festival This Saturday!,2023-08-10,https://blogs.loc.gov/loc/2023/08/national-book-festival-this-saturday/,"The Libarary's 2023 National Book Festival  on August 12 features a stunning array literary stars including Amor Towls, Beverly Gage, Victor Lavelle, Elizabeth Acevedo, Rebecca Makkai, David Grann, S.A. Crosby, Cheuk Kwan and Tahir Hamut Izgil. Librarian of Congress will present the Prize for American Fiction to novelist George Saunders at day's end."
"Introducing ""Seeing Lost Enclaves"" with Innovator in Residence Jeffrey Yoo Warren",2023-01-18,https://blogs.loc.gov/thesignal/2023/01/introducing-seeing-lost-enclaves-with-innovator-in-residence-jeffrey-yoo-warren/,"&nbsp; The following is a guest post by 2023 Innovator in Residence Jeffrey Yoo Warren, an artist and educator who lives in Providence, Rhode Island. Yoo Warren will work with Library of Congress staff and collections to digitally reconstruct Providence&#8217;s historic Chinatown using 3D and virtual reality technologies. He will repeat the process for another &hellip;"
Library of Congress Digitization Strategy: 2023-2027,2023-02-13,https://blogs.loc.gov/thesignal/2023/02/library-of-congress-digitization-strategy-2023-2027/,"The following post was co-authored with Steve Morris, Chief of Digital Collections Management and Services and Tom Rieger, Manager of Digitization&#xA0;Services.&#xA0; The Library of Congress has a new Digitization Strategy for its collections. As we did for the Library&#8217;s Digital Collections Strategy, we are excited to share this overview of it with readers of The &hellip;"
Filling in the File Format Gaps,2023-06-29,https://blogs.loc.gov/thesignal/2023/06/filling-in-the-file-format-gaps/,"This post is part of the blog series on file format research for the Sustainability of Digital Formats site at the Library of Congress, and provides updates on new and updated file format description documents."
"Acquiring, Preserving, and Providing Access to Titles from DOAB is DO-ABle",2023-08-15,https://blogs.loc.gov/thesignal/2023/08/bulk-acquiring-preserving-providing-access-to-doab-titles/,"The Digital Content Management Section of the Library of Congress has refined a workflow for the large-scale acquisition of and access to open access books. In this post, read about our process and challenges faced along the way."
Celebrating 5 Years of By the People,2023-12-21,https://blogs.loc.gov/thesignal/2023/12/by-the-people-turns-5/,"It&#8217;s that time again: another&#xA0;By the People&#xA0;anniversary! By the People (BtP), the Library of Congress crowdsourced transcription program, is taking a moment this winter to look back on how we&#8217;ve grown and celebrate our 5th year! As we&#8217;ve shared in earlier birthday celebrations, BtP was originally incubated in 2018 by the LC Labs team and &hellip;"
Leave the Library a Little Better Than You Found It: An Interview with Grace Bicho,2023-12-13,https://blogs.loc.gov/thesignal/2023/12/leave-the-library-a-little-better-than-you-found-it-an-interview-with-grace-bicho/,"I&#8217;m excited to share this interview with Grace Bicho, a Senior Digital Collections Specialist in the Web Archiving Section at the Library. This interview, and others like it on The Signal, are created to generate insight into the background, experience, and interests of the people that support the Library of Congress. Tracee:&#xA0;Hi Grace, could you &hellip;"
