Title,Date,URL,Description
"Artificial intelligence-based student activity monitoring for suicide risk : considerations for K-12 schools, caregivers, government, and technology developers",2023,http://lccn.loc.gov/2024402303,"In response to the widespread youth mental health crisis, some kindergarten-through-12th-grade (K-12) schools have begun employing artificial intelligence (AI)-based tools to help identify students at risk for suicide and self-harm. The adoption of AI and other types of educational technology to partially address student mental health needs has been a natural forward step for many schools during the transition to remote education. However, there is limited understanding about how such programs work, how they are implemented by schools, and how they may benefit or harm students and their families. To assist policymakers, school districts, school leaders, and others in making decisions regarding the use of these tools, the authors address these knowledge gaps by providing a preliminary examination of how AI-based suicide risk monitoring programs are implemented in K-12 schools, how stakeholders perceive the effects that the programs are having on students, and the potential benefits and risks of such tools. Using this analysis, the authors also offer recommendations for school and district leaders; state, federal, and local policymakers; and technology developers to consider as they move forward in maximizing the intended benefits and mitigating the possible risks of AI-based suicide risk monitoring programs."
H.R.5077 - 118th Congress (2023-2024): Creating Resources for Every American To Experiment with Artificial Intelligence Act of 2023,2023-07-28,https://www.congress.gov/bill/118th-congress/house-bill/5077,Summary of H.R.5077 - 118th Congress (2023-2024): Creating Resources for Every American To Experiment with Artificial Intelligence Act of 2023
S.1993 - 118th Congress (2023-2024): A bill to waive immunity under section 230 of the Communications Act of 1934 for claims and charges related to generative artificial intelligence.,2023-06-14,https://www.congress.gov/bill/118th-congress/senate-bill/1993,Summary of S.1993 - 118th Congress (2023-2024): A bill to waive immunity under section 230 of the Communications Act of 1934 for claims and charges related to generative artificial intelligence.
Outsmarting Agile Adversaries in the Electromagnetic Spectrum Executive Summary,2023,http://lccn.loc.gov/2023275233,"The U.S. Air Force's electronic warfare integrated reprogramming (EWIR) enterprise examines intelligence on adversary threats that emit in the electromagnetic spectrum (EMS) (in particular, radars and jammers) and configures electronic warfare software and hardware to enable aircraft or other resources to react to and/or respond to adverse changes in the EMS environment. With the growing advancements in U.S. adversaries' electronic warfare assets that enable complex and diverse EMS capabilities, identifying, tracking, and responding to these threats requires much faster updates than the existing EWIR enterprise was designed for. The research team conducted four interrelated technology case studies that together comprise the fundamental elements necessary for creating a near-real-time, autonomous, inflight software reprogramming capability and, more specifically, artificial intelligence-enabled cognitive electronic warfare capabilities-the use of machine learning algorithms that enable platforms to learn, reprogram, adapt, and effectively counter threats in flight. The research team also highlighted important continuing roles for the existing EWIR enterprise even as the U.S. Air Force moves toward a cognitive future. This executive summary encapsulates the findings in Outsmarting Agile Adversaries in the Electromagnetic Spectrum(RR-A981-1) 2023."
"S.3004 - 118th Congress (2023-2024): A bill to specify control and management of Department of Defense data and to establish the Chief Digital and Artificial Intelligence Officer Governing Council, and for other purposes.",2023-10-03,https://www.congress.gov/bill/118th-congress/senate-bill/3004,"Summary of S.3004 - 118th Congress (2023-2024): A bill to specify control and management of Department of Defense data and to establish the Chief Digital and Artificial Intelligence Officer Governing Council, and for other purposes."
"H.R.6425 - 118th Congress (2023-2024): To direct the Secretary of Defense to establish a working group to develop and coordinate an artificial intelligence initiative among the Five Eyes countries, and for other purposes.",2023-11-15,https://www.congress.gov/bill/118th-congress/house-bill/6425,"Summary of H.R.6425 - 118th Congress (2023-2024): To direct the Secretary of Defense to establish a working group to develop and coordinate an artificial intelligence initiative among the Five Eyes countries, and for other purposes."
"Join Us on 5/18 for a Foreign and Comparative Law Webinar, ""E-Governance and E-Voting in the Baltic States: Leaders of E-Transformation""",2023-04-28,https://blogs.loc.gov/law/2023/04/join-us-on-5-18-for-a-foreign-and-comparative-law-webinar-e-governance-and-e-voting-in-the-baltic-states-leaders-of-e-transformation/,Announcing our latest Foreign and Comparative Law Webinar on E-Governance and E-Voting in the Baltic States.
Inclusion in AI : is there a Singapore model?,2023,http://lccn.loc.gov/2023331830,"""March 2023."" Includes bibliographical references. In English. Title from PDF file as viewed on 11/03/2023."
2023 American Folklife Center Mummers Holiday Play in the Great Hall,2023-12-13,http://www.loc.gov/item/event-411348/,"The American Folklife Center Mummers will present the annual mummers’ play in the Great Hall at 3:15 p.m. on December 13. This year’s play is called “Artificial Intelligence Meets Natural Stupidity: A Literary Ball Mumming.” When Artificial Intelligence tries to make writers obsolete, can St. George Eliot, Sherlock Holmes and Enola Holmes save the day? Find out in this play set at the North Pole Library Literary Ball. Sing along on the carols and dance to traditional tunes as well!"
International Women's Day Keynote Speaker: Vivienne Ming,2023-03-22,http://www.loc.gov/item/webcast-10750/,"An inspiring program featuring Vivienne Ming, neuroscientist, entrepreneur, inventor and artificial intelligence expert as keynote speaker on inclusion and the future of work."
TechnoLlama,2010,http://www.loc.gov/item/lcwaN0004846/,"TechnoLlama is a technology law blog dedicated to informative, deep, yet light-hearted coverage of cyberlaw topics, with an emphasis on artificial intelligence, internet regulation, and cryptocurrencies.  Website.   electronic |   Electronic (Form)."
Cancer Moonshot: 2023 Panel Discussion,2023-12-05,http://www.loc.gov/item/webcast-11206/,"This year's panel discussion on the Cancer Moonshot initiative brought together leading scientists working on artificial intelligence to discuss AI for cancer screening, immunotherapy, imaging and the ethics involved in using AI technology."
International Women's Day Symposium: Women Leadership in Tech and Investment,2023-03-08,http://www.loc.gov/item/event-408024/,"Attend an inspiring program featuring Dr. Vivienne Ming, neuroscientist, entrepreneur, inventor, and artificial intelligence expert as keynote, speaking on the tax of being different as an entrepreneur and investor, and about her career path."
2023 Law Library of Congress Research Reports,2023-11-30,http://www.loc.gov/item/webcast-11199/,"This presentation highlighted some of the Law Library of Congress legal reports published in 2023. These included reports on immigration, artificial intelligence, environmental issues and lobbying. The highlighted reports on immigration covered the topics of unaccompanied asylum-seeking minors and whether humanitarian protection can be claimed from outside the country. One area that has been of great interest internationally is the development of artificial intelligence. The Law Library produced two reports on this topic that were discussed. Environmental reports that cover net zero emissions and the regulation of hemp were also included along with a report on lobbying and the registration of foreign agents. The presentation also reviewed some of the top-performing blog posts and Global Legal Monitor articles for the past year."
Cancer Moonshot Panel Webinar will Discuss AI and Cancer on December 5,2023-11-27,https://blogs.loc.gov/inside_adams/2023/11/cancermoonshot/,"The Library of Congress will be hosting a virtual panel discussion on Artificial Intelligence (AI) in cancer diagnostics and treatment on December 5, 2023. This event is sponsored by the Library's Health Services Division and Science Section and is part of its annual Cancer Moonshot series."
Happy Holidays! AFC's 2023 Literary Ball Mummers Play Video,2023-12-22,https://blogs.loc.gov/folklife/2023/12/happy-holidays-afcs-2023-literary-ball-mummers-play-video/,"Happy holidays from the American Folklife Center! Watch a video of the AFC Mummers performing our 2023 mummers play! Then you can read the play, see the pictures, and even read the annotations if you’re interested in the history of holiday customs. This year’s play is called “Artificial Intelligence Meets Natural Stupidity: A Literary Ball Mumming.” When Artificial Intelligence tries to make writers obsolete, can St. George Eliot, Sherlock Holmes and Enola Holmes save the day? Find out in this play set at the North Pole Library Literary Ball, which includes wassailing carols and dancing to traditional tunes as well!  Mummers plays are short plays which were traditionally performed in Britain, Ireland, colonial America and the West Indies at holiday time. Mummers went from house to house and pub to pub, collecting food, drink and small change as a reward for their entertainment. The American Folklife Center’s archive boasts a large collections of British mummers play texts in its James Madison Carpenter Collection."
#ICYMI: The Copyright Office Hears from Stakeholders on Important Issues with AI and Copyright,2023-07-18,https://blogs.loc.gov/copyright/2023/07/icymi-the-copyright-office-hears-from-stakeholders-on-important-issues-with-ai-and-copyright/,"In April and May 2023, the Copyright Office hosted four public, virtual listening sessions on the use of artificial intelligence to generates works in creative fields. The listening sessions focused on four different categories of works: literary works, including print journalism and software; visual arts; audiovisual works, including video games; and music and sound recordings. This blog post provides a brief recap of the four listening sessions."
